DateChangedOrAdded,Cmdlets,ADObject
1/13/2022,*-AdminAuditLogConfig,msExchAdminAuditLogConfig
1/13/2022,*-TransportRule,msExchTransportRuleCollection
1/13/2022,*-JournalRule,msExchTransportRuleCollection
1/13/2022,*-RemoteDomain,msExchContentConfigContainer
1/13/2022,#Ignored#,msExchMDBContainer
1/13/2022,*-MailboxDatabase,msExchPrivateMDB
1/13/2022,#Ignored#,msExchMDBAvailabilityGroupContainer
1/13/2022,*-DatabaseAvailabilityGroup,msExchMDBAvailabilityGroup
1/13/2022,#Ignored#,msExchContainer
1/13/2022,*-ManagementRoleAssignment,msExchRoleAssignment
1/13/2022,#Ignored#,msExchContainer
1/13/2022,*-ManagementRole,msExchRole
1/13/2022,*-RoleGroup,group / Domain Partition
1/13/2022,*-TransportConfig,msExchTransportSettings
1/13/2022,*-HybridConfiguration,msExchCoexistenceRelationship
1/13/2022,*-OrganizationRelationship,msExchFedSharingRelationship
1/13/2022,*-IntraOrganizationConnector,msExchIntraOrganizationConnector
1/13/2022,*-IntraOrganizationConnector,msExchIntraOrganizationConnector
1/13/2022,*-MailboxExportRequest;*-MoveMailboxRequest,msExchMRSRequest
1/13/2022,*-MailboxRestoreRequest,msExchMRSRequest
1/13/2022,*-MobileDeviceMailboxPolicy,msExchMobileMailboxPolicy
1/13/2022,*-ActiveSyncMailboxPolicy,msExchMobileMailboxSettings
1/13/2022,#Ignored#,msExchContainer
1/13/2022,*-SettingOverride,msExchConfigSettings
1/13/2022,*-OwaMailboxPolicy,msExchOWAMailboxPolicy
1/13/2022,*-EmailAddressPolicy,msExchRecipientPolicyContainer
1/13/2022,*-RetentionPolicy,msExchMailboxRecipientTemplate
1/13/2022,*-RetentionPolicyTag,msExchELCFolder
1/13/2022,*-AcceptedDomain,msExchAcceptedDomain
1/13/2022,*MalwareFilterPolicy, msExchMalwareFilterConfig
1/13/2022,*-ContentFilterConfig,msExchMessageHygieneContentFilterConfig
1/13/2022,*-IPAllowListConfig,msExchMessageHygieneIPAllowListConfig
1/13/2022,*-IPAllowListProvidersConfig,msExchMessageHygieneIPAllowListProviderConfig
1/13/2022,*-IPBlockListConfig,msExchMessageHygieneIPBlockListConfig
1/13/2022,*-IPBlockListProvidersConfig,msExchMessageHygieneIPBlockListProviderConfig
1/13/2022,*-RecipientFilterConfig,msExchMessageHygieneRecipientFilterConfig
1/13/2022,*-SenderReputationConfig,msExchSenderReputation
1/13/2022,*-SenderFilterConfig,msExchMessageHygieneSenderFilterConfig
1/13/2022,*-SenderIdConfig,msExchMessageHygieneSenderIDConfig
1/13/2022,*-TransportService,msExchExchangeServer
1/13/2022,*-PopSettings,protocolCfgPOPServer
1/13/2022,*-ImapSettings,msExchProtocolCfgIMAPContainer
1/13/2022,#Ignored#,msExchProtocolCfgHTTPContainer
1/13/2022,*-AutodiscoverVirtualDirectory,msExchAutoDiscoverVirtualDirectory
1/13/2022,*-EcpVirtualDirectory,msExchECPVirtualDirectory
1/13/2022,*-EcpVirtualDirectory,msExchECPVirtualDirectory
1/13/2022,*-WebServicesVirtualDirectory,msExchWebServicesVirtualDirectory
1/13/2022,*-MapiVirtualDirectory,msExchMapiVirtualDirectory
1/13/2022,*-ActiveSyncVirtualDirectory,msExchMobileVirtualDirectory
1/13/2022,*-OabVirtualDirectory,msExchOABVirtualDirectory
1/13/2022,*-OwaVirtualDirectory,msExchOWAVirtualDirectory
1/13/2022,*-OwaVirtualDirectory,msExchOWAVirtualDirectory
1/13/2022,*-PowerShellVirtualDirectory,msExchPowerShellVirtualDirectory
1/13/2022,*-OutlookAnywhere,msExchRpcHttpVirtualDirectory
1/13/2022,#Ignored#,msExchProtocolCfgSMTPContainer
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-ReceiveConnector,msExchSmtpReceiveConnector
1/13/2022,*-SendConnector,msExchRoutingSMTPConnector
